Longitude,Latitude,month,year,tempmax,site,long.scaled,long.center
-97.9575,35.5303,1,2004,10.5,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2004,6.9,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2004,6.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2004,14.3,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2004,14.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2004,17.4,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2004,15,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2005,17.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2005,18.5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2005,18.3,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2005,17.6,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2005,13.7,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2005,13.1,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2005,9.3,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2005,10.6,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2005,6.4,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2005,7.4,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2005,14.6,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2005,14.9,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2005,18.7,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2005,14,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2006,20.2,ozona,-1.215412391,-2.761636643
-99.7714,30.4897,1,2006,21.5,llano,-0.5866772,-1.333036643
-97.469,30.179,1,2006,22.6,lostP,0.426622466,0.969363357
-95.551,30.7233,1,2006,20.9,shsu,1.270745451,2.887363357
-99.2906,34.1511,1,2006,19.2,vernon,-0.375074316,-0.852236643
-101.8453,35.1992,1,2006,16.5,buffalolake,-1.499412684,-3.406936643
-99.3978,36.4331,1,2006,16.4,woodward,-0.422253661,-0.959436643
-97.9575,35.5303,1,2006,17,elreno,0.211630768,0.480863357
-97.672833,37.538006,1,2006,14.6,ninnescah,0.336914374,0.765530357
-94.6997,37.4103,1,2006,13.6,psu,1.645407545,3.738663357
-101.8833,33.5667,1,2006,18.7,lubbock,-1.516136706,-3.444936643
-96.9644,33.0692,1,2006,20.8,llela,0.648699869,1.473963357
-95.920129,29.920887,1,2006,21.3,Katy,1.108289626,2.518234357
-98.514125,33.913161,1,2006,19.8,wf,-0.033343141,-0.075761643
-101.2,30.71,1,2007,12.4,ozona,-1.215412391,-2.761636643
