rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1939-1940,ds,138.9354822
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1939-1940,gs,329.1924278
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1940-1941,ds,146.1612895
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1940-1941,gs,297.8686636
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1941-1942,ds,198.0645163
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1941-1942,gs,300.1543838
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1942-1943,ds,190.0645149
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1942-1943,gs,308.2672852
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1943-1944,ds,311.1290362
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1943-1944,gs,288.1434929
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1944-1945,ds,333.5483768
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1944-1945,gs,309.8387054
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1945-1946,ds,335.6129024
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1945-1946,gs,240.9400935
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1946-1947,ds,116.6774209
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1946-1947,gs,307.4493056
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1947-1948,ds,249.3225764
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1947-1948,gs,314.4315989
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1948-1949,ds,389.1612916
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1948-1949,gs,258.1889403
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1949-1950,ds,78.22580521
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1949-1950,gs,169.8755755
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1950-1951,ds,76.38709711
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1950-1951,gs,451.8847899
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1951-1952,ds,229.870962
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1951-1952,gs,315.6329287
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1952-1953,ds,308.774205
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1952-1953,gs,253.3594447
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1953-1954,ds,270.7096743
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1953-1954,gs,270.4976965
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1954-1955,ds,171.8387101
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1954-1955,gs,221.6820298
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1955-1956,ds,118.2258072
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1955-1956,gs,324.1879817
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1956-1957,ds,156.0645166
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1956-1957,gs,331.4608246
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1957-1958,ds,190.9677413
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1957-1958,gs,239.6198176
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1958-1959,ds,294.5483939
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1958-1959,gs,404.4700463
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1959-1960,ds,149.8709645
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1959-1960,gs,247.1712993
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1960-1961,ds,288.8387156
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1960-1961,gs,209.7096739
