"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1944-1945","gs",13.6926628112793
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1945-1946","ds",25.4885154724121
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1945-1946","gs",14.572547531128
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1946-1947","ds",27.2196975708008
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1946-1947","gs",13.8131366729737
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1947-1948","ds",26.3345046997071
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1947-1948","gs",14.41414604187
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1948-1949","ds",25.089486694336
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1948-1949","gs",14.534841156006
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1949-1950","ds",28.5594764709473
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1949-1950","gs",15.8872180938721
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1950-1951","ds",28.6912818908692
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1950-1951","gs",14.4153057098388
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1951-1952","ds",26.3326736450195
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1951-1952","gs",14.7259517669679
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1952-1953","ds",25.4488693237304
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1952-1953","gs",13.4199939727784
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1953-1954","ds",25.6096435546878
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1953-1954","gs",14.1154285430909
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1954-1955","ds",26.7928634643554
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1954-1955","gs",14.7448173522951
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1955-1956","ds",28.2055603027344
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1955-1956","gs",14.3494430541993
